Team,Year,Rank,T_Rank
Colorado,2019,10,T9
Minnesota,2019,11,T9
Oregon,2019,12,T9
Texas,2019,13,T13
UCLA,2019,14,T13
Washington,2019,15,T13
Northwestern,2019,16,T13
Pittsburgh,2019,17,T17
Northeastern,2019,18,T17
Tufts,2019,19,T17
Cornell,2019,20,T17
North Carolina,2021,1,1
Washington,2021,2,2
Carleton,2021,3,T3
UC Santa Barbara,2021,4,T3
Virginia,2021,5,T5
UC San Diego,2021,6,T5
Pittsburgh,2021,7,T5
UC Davis,2021,8,T5
Western Washington,2021,9,T9
Colorado,2021,10,T9
Texas,2021,11,T11
Chicago,2021,12,T11
Vermont,2021,13,T13
Georgia,2021,14,T13
Florida State,2021,15,T15
Ohio,2021,16,T15
Pennsylvania,2021,17,T17
SUNY-Binghamton,2021,18,T17
Michigan,2021,19,T19
Boston University,2021,20,T19
North Carolina,2022,1,1
Colorado,2022,2,2
Carleton,2022,3,T3
UC Santa Barbara,2022,4,T3
British Columbia,2022,5,T5
Tufts,2022,6,T5
Washington,2022,7,T5
UC Davis,2022,9,T9
UC San Diego,2022,10,T9
Florida State,2022,11,T9
Georgia,2022,13,T13
Pittsburgh,2022,14,T13
Virginia,2022,16,T15
Purdue,2022,17,T17
Northeastern,2022,18,T17
SUNY-Binghamton,2022,19,T19
Colorado State,2022,20,T19
North Carolina,2023,1,1
Colorado,2023,2,2
British Columbia,2023,3,T3
Vermont,2023,4,T3
Carleton,2023,5,T5
Stanford,2023,6,T5
Tufts,2023,7,T5
Washington,2023,8,T5
UC Santa Barbara,2023,9,T9
Colorado State,2023,10,T9
Northeastern,2023,11,T9
Oregon,2023,12,T9
UCLA,2023,13,T13
Virginia,2023,14,T13
Chicago,2023,15,T15
Victoria,2023,16,T15
Georgia,2023,17,T17
SUNY-Binghamton,2023,18,T17
Carnegie Mellon,2023,19,T19
Texas-Dallas,2023,20,T19
Brown,2024,1,1
Cal Poly SLO,2024,2,2
Colorado,2024,3,T3
North Carolina,2024,4,T3
Georgia,2024,5,T5
Minnesota,2024,6,T5
NC State,2024,7,T5
Oregon,2024,8,T5
Massachusetts,2024,9,T9
Pittsburgh,2024,10,T9
Texas,2024,11,T9
Michigan,2024,12,T9
Oregon State,2024,13,T13
California,2024,14,T13
Vermont,2024,15,T15
WashU,2024,16,T15
Penn State,2024,17,T17
Carleton,2024,18,T17
Alabama-Huntsville,2024,19,T19
Ottawa,2024,20,T19
