URL,Year,Team,Web_Finish,List_Finish
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,North Carolina-Wilmington,2,2
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,California- Davis,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,Georgia,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,Brown,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,California-San Diego,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,Colorado,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,Tufts,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,Swarthmore,9,9
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,Smith,10,10
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,Minnesota,11,11
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,Rice,12,12
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,Oregon,13,13
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,Illinois,14,14
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,Bucknell,15T,15
https://collegechampionships.usaultimate.org/d1-women/history/2000-d-i-women/,2000,Notre Dame,15T,16
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,Georgia,1,1
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,Stanford,2,2
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,California- San Diego,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,North Carolina- Wilmington,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,British Columbia,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,Brown,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,Carleton College,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,Tufts,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,Colorado,9,9
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,Northwestern,10,10
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,Bucknell,11,11
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,Swarthmore,12,12
https://collegechampionships.usaultimate.org/d1-women/history/2001-d-i-women/,2001,Illinois,13,13
