URL,Year,Team,Web_Finish,List_Finish
https://collegechampionships.usaultimate.org/d1-men/history/1995-d-i-men/,1995,Yale,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/1995-d-i-men/,1995,Carleton College,7T,7
https://collegechampionships.usaultimate.org/d1-men/history/1995-d-i-men/,1995,LSU,7T,8
https://collegechampionships.usaultimate.org/d1-men/history/1995-d-i-men/,1995,Oberlin,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/1995-d-i-men/,1995,Williams,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/1995-d-i-men/,1995,Georgia,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/1995-d-i-men/,1995,Indiana,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/1996-d-i-men/,1996,California-Santa Barbara,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1996-d-i-men/,1996,Carleton College,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1996-d-i-men/,1996,Cornell,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/1996-d-i-men/,1996,Wisconsin,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/1996-d-i-men/,1996,North Carolina-Wilmington,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/1996-d-i-men/,1996,Stanford,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/1996-d-i-men/,1996,Georgia,7T,7
https://collegechampionships.usaultimate.org/d1-men/history/1996-d-i-men/,1996,North Carolina State,7T,8
https://collegechampionships.usaultimate.org/d1-men/history/1996-d-i-men/,1996,Wesleyan,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/1996-d-i-men/,1996,Williams,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/1996-d-i-men/,1996,Indiana,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/1996-d-i-men/,1996,Florida State,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/1997-d-i-men/,1997,California- Santa Barbara,1,1
https://collegechampionships.usaultimate.org/d1-men/history/1997-d-i-men/,1997,Stanford,2,2
https://collegechampionships.usaultimate.org/d1-men/history/1997-d-i-men/,1997,Carleton College,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/1997-d-i-men/,1997,East Carolina,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/1997-d-i-men/,1997,North Carolina- Wilmington,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/1997-d-i-men/,1997,Wisconsin,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/1997-d-i-men/,1997,Cornell,7T,7
