Team,Year,Rank,T_Rank
Cornell,2010,3,T3
Pittsburgh,2010,4,T3
California,2010,5,T5
Michigan,2010,6,T5
Minnesota,2010,7,T5
UNC Wilmington,2010,8,T5
UC Santa Barbara,2010,9,T9
Iowa,2010,10,T9
Middlebury,2010,11,T11
Wisconsin,2010,12,T11
Colorado,2010,13,T13
Georgia,2010,14,T14
Oregon,2010,15,T14
Harvard,2010,16,16
UC San Diego,2010,17,T17
Illinois,2010,18,T17
Kansas,2010,19,T19
Texas State,2010,20,T19
Carleton,2011,1,1
Wisconsin,2011,2,2
Colorado,2011,3,T3
Iowa,2011,4,T3
Harvard,2011,5,T5
Oregon,2011,6,T5
Pittsburgh,2011,7,T5
Stanford,2011,8,T5
British Columbia,2011,9,9
Tufts,2011,10,10
Washington,2011,11,11
Luther,2011,12,12
Texas,2011,13,T13
Virginia,2011,14,T13
Cornell,2011,15,T15
Whitman,2011,16,T15
Illinois,2011,17,17
UC Santa Cruz,2011,18,T18
Colorado College,2011,19,T18
Florida,2011,20,T18
Pittsburgh,2012,1,1
Wisconsin,2012,2,2
Oregon,2012,3,T3
Carleton,2012,4,T3
Central Florida,2012,5,T5
Luther,2012,6,T5
Minnesota,2012,7,T5
Tufts,2012,8,T5
Colorado,2012,9,9
Texas,2012,10,10
California,2012,11,11
Georgia Tech,2012,12,12
North Carolina,2012,13,T13
Washington,2012,14,T13
Michigan,2012,15,T15
Minnesota-Duluth,2012,16,T15
Michigan State,2012,17,T17
Ohio,2012,18,T17
UC Davis,2012,19,T19
Cornell,2012,20,T19
Pittsburgh,2013,1,1
Central Florida,2013,2,2
Carleton,2013,3,T3
Oregon,2013,4,T3
UC Davis,2013,5,T5
Dartmouth,2013,6,T5
North Carolina,2013,7,T5
UNC Wilmington,2013,8,T5
Colorado,2013,9,T9
Harvard,2013,10,T9
Texas,2013,11,T9
Wisconsin,2013,12,T9
Arizona,2013,13,T13
Cornell,2013,14,T13
Luther,2013,15,T13
Washington,2013,16,T13
Florida State,2013,17,T17
Georgia,2013,18,T17
Illinois,2013,19,T17
Ohio,2013,20,T17
Colorado,2014,1,1
North Carolina,2014,2,2
UNC Wilmington,2014,3,T3
Oregon,2014,4,T3
Michigan,2014,5,T5
Pittsburgh,2014,6,T5
Texas,2014,7,T5
Wisconsin,2014,8,T5
Carleton,2014,9,T9
Central Florida,2014,10,T9
Harvard,2014,11,T9
Tufts,2014,12,T9
UC San Diego,2014,13,T13
Florida,2014,14,T13
Florida State,2014,15,T13
Massachusetts,2014,16,T13
Dartmouth,2014,17,T17
Eastern Michigan,2014,18,T17
Rutgers,2014,19,T17
Texas A&M,2014,20,T17
North Carolina,2015,1,1
Oregon,2015,2,2
Central Florida,2015,3,T3
Florida State,2015,4,T3
Colorado,2015,5,T5
Massachusetts,2015,6,T5
Pittsburgh,2015,7,T5
Texas,2015,8,T5
Georgia,2015,9,T9
Minnesota,2015,10,T9
UNC Wilmington,2015,11,T9
Texas A&M,2015,12,T9
Auburn,2015,13,T13
Illinois,2015,14,T13
Western Washington,2015,15,T13
Wisconsin,2015,16,T13
UC Santa Barbara,2015,17,T17
Cincinnati,2015,18,T17
Cornell,2015,19,T17
Maryland,2015,20,T17
Minnesota,2016,1,1
Harvard,2016,2,2
North Carolina,2016,3,T3
Pittsburgh,2016,4,T3
Auburn,2016,5,T5
Colorado,2016,6,T5
Georgia,2016,7,T5
Wisconsin,2016,8,T5
Massachusetts,2016,9,T9
Michigan,2016,10,T9
Oregon,2016,11,T9
Texas A&M,2016,12,T9
Carleton,2016,13,T13
Connecticut,2016,14,T13
UNC Wilmington,2016,15,T13
Utah,2016,16,T13
Cal Poly SLO,2016,17,T17
Case Western Reserve,2016,18,T17
Florida State,2016,19,T17
Washington,2016,20,T17
Carleton,2017,1,1
UNC Wilmington,2017,2,2
Massachusetts,2017,3,T3
North Carolina,2017,4,T3
Minnesota,2017,5,T5
Pittsburgh,2017,6,T5
Washington,2017,7,T5
Wisconsin,2017,8,T5
Auburn,2017,9,T9
Cal Poly SLO,2017,10,T9
Michigan,2017,11,T9
Oregon,2017,12,T9
British Columbia,2017,13,T13
Connecticut,2017,14,T13
Stanford,2017,15,T13
Texas A&M,2017,16,T13
Colorado,2017,17,T17
Colorado State,2017,18,T17
Oregon State,2017,19,T17
Virginia Tech,2017,20,T17
North Carolina,2018,1,1
Pittsburgh,2018,2,2
Carleton,2018,3,T3
Oregon,2018,4,T3
Brown,2018,5,T5
Georgia,2018,6,T5
Washington,2018,7,T5
Wisconsin,2018,8,T5
Massachusetts,2018,9,T9
