Team,Time,Rank,Year
Iowa,27,10,2010
Middlebury,27,11,2010
Wisconsin,27,12,2010
Colorado,27,13,2010
Georgia,27,14,2010
Oregon,27,15,2010
Harvard,27,16,2010
UC San Diego,27,17,2010
Illinois,27,18,2010
Kansas,27,19,2010
Texas State,27,20,2010
Carleton,28,1,2011
Wisconsin,28,2,2011
Colorado,28,3,2011
Iowa,28,4,2011
Harvard,28,5,2011
Oregon,28,6,2011
Pittsburgh,28,7,2011
Stanford,28,8,2011
British Columbia,28,9,2011
Tufts,28,10,2011
Washington,28,11,2011
Luther,28,12,2011
Texas,28,13,2011
Virginia,28,14,2011
Cornell,28,15,2011
Whitman,28,16,2011
Illinois,28,17,2011
UC Santa Cruz,28,18,2011
Colorado College,28,19,2011
Florida,28,20,2011
Pittsburgh,29,1,2012
Wisconsin,29,2,2012
Oregon,29,3,2012
Carleton,29,4,2012
Central Florida,29,5,2012
Luther,29,6,2012
Minnesota,29,7,2012
Tufts,29,8,2012
Colorado,29,9,2012
Texas,29,10,2012
California,29,11,2012
Georgia Tech,29,12,2012
North Carolina,29,13,2012
Washington,29,14,2012
Michigan,29,15,2012
Minnesota-Duluth,29,16,2012
Michigan State,29,17,2012
Ohio,29,18,2012
UC Davis,29,19,2012
Cornell,29,20,2012
Pittsburgh,30,1,2013
Central Florida,30,2,2013
Carleton,30,3,2013
Oregon,30,4,2013
UC Davis,30,5,2013
Dartmouth,30,6,2013
North Carolina,30,7,2013
UNC Wilmington,30,8,2013
Colorado,30,9,2013
Harvard,30,10,2013
Texas,30,11,2013
Wisconsin,30,12,2013
Arizona,30,13,2013
Cornell,30,14,2013
Luther,30,15,2013
Washington,30,16,2013
Florida State,30,17,2013
Georgia,30,18,2013
Illinois,30,19,2013
Ohio,30,20,2013
Colorado,31,1,2014
North Carolina,31,2,2014
UNC Wilmington,31,3,2014
Oregon,31,4,2014
Michigan,31,5,2014
Pittsburgh,31,6,2014
Texas,31,7,2014
Wisconsin,31,8,2014
Carleton,31,9,2014
Central Florida,31,10,2014
Harvard,31,11,2014
Tufts,31,12,2014
UC San Diego,31,13,2014
Florida,31,14,2014
Florida State,31,15,2014
Massachusetts,31,16,2014
Dartmouth,31,17,2014
